Gene stable ID	Transcript stable ID	Transcript start (bp)	Transcript end (bp)	Chromosome/scaffold name	Gene % GC content	Transcription start site (TSS)	Transcript length (including UTRs and CDS)	Gene name	Strand	Gene start (bp)	Gene end (bp)
ENSG00000186092	ENST00000335137	69091	70008	1	42.81	69091	918	OR4F5	1	69091	70008
ENSG00000237683	ENST00000423372	134901	139379	1	64.43	139379	2661	AL627309.1	-1	134901	139379
ENSG00000235249	ENST00000426406	367640	368634	1	45.73	367640	995	OR4F29	1	367640	368634
ENSG00000185097	ENST00000332831	621059	622053	1	45.73	622053	995	OR4F16	-1	621059	622053
ENSG00000269831	ENST00000599533	738532	739137	1	39.60	739137	129	AL669831.1	-1	738532	739137
ENSG00000269308	ENST00000594233	818043	819983	1	38.74	818043	57	AL645608.2	1	818043	819983
ENSG00000187634	ENST00000420190	860260	874671	1	65.99	860260	626	SAMD11	1	860260	879955
ENSG00000187634	ENST00000437963	860530	871173	1	65.99	860530	387	SAMD11	1	860260	879955
ENSG00000187634	ENST00000342066	861118	879955	1	65.99	861118	2551	SAMD11	1	860260	879955
ENSG00000187634	ENST00000341065	865692	879955	1	65.99	865692	2191	SAMD11	1	860260	879955
ENSG00000187634	ENST00000455979	874655	879639	1	65.99	874655	1731	SAMD11	1	860260	879955
ENSG00000187634	ENST00000478729	875726	877553	1	65.99	875726	318	SAMD11	1	860260	879955
ENSG00000187634	ENST00000474461	876456	878374	1	65.99	876456	862	SAMD11	1	860260	879955
ENSG00000187634	ENST00000466827	877483	878182	1	65.99	877483	542	SAMD11	1	860260	879955
ENSG00000187634	ENST00000464948	877546	878272	1	65.99	877546	657	SAMD11	1	860260	879955
ENSG00000268179	ENST00000598827	861264	866445	1	63.47	866445	336	AL645608.1	-1	861264	866445
ENSG00000188976	ENST00000483767	879584	882440	1	59.55	882440	1611	NOC2L	-1	879584	894689
ENSG00000188976	ENST00000327044	879584	894670	1	59.55	894670	2790	NOC2L	-1	879584	894689
ENSG00000188976	ENST00000477976	879585	893838	1	59.55	893838	4201	NOC2L	-1	879584	894689
ENSG00000188976	ENST00000496938	880699	880942	1	59.55	880942	149	NOC2L	-1	879584	894689
ENSG00000188976	ENST00000487214	889806	894689	1	59.55	894689	865	NOC2L	-1	879584	894689
ENSG00000188976	ENST00000469563	893626	894636	1	59.55	894636	878	NOC2L	-1	879584	894689
ENSG00000187961	ENST00000338591	895967	901095	1	67.87	895967	2560	KLHL17	1	895967	901095
ENSG00000187961	ENST00000463212	896829	897858	1	67.87	896829	955	KLHL17	1	895967	901095
ENSG00000187961	ENST00000466300	898107	899910	1	67.87	898107	913	KLHL17	1	895967	901095
ENSG00000187961	ENST00000481067	898932	899544	1	67.87	898932	515	KLHL17	1	895967	901095
ENSG00000187583	ENST00000379410	901877	910488	1	62.65	901877	2404	PLEKHN1	1	901877	911245
ENSG00000187583	ENST00000379409	901882	910388	1	62.65	901882	2455	PLEKHN1	1	901877	911245
ENSG00000187583	ENST00000379407	901882	910388	1	62.65	901882	2194	PLEKHN1	1	901877	911245
ENSG00000187583	ENST00000480267	906255	906903	1	62.65	906255	464	PLEKHN1	1	901877	911245
ENSG00000187583	ENST00000491024	908892	911245	1	62.65	908892	698	PLEKHN1	1	901877	911245
ENSG00000187642	ENST00000341290	910584	917473	1	67.73	917473	3035	C1orf170	-1	910579	917497
ENSG00000187642	ENST00000479361	910585	912021	1	67.73	912021	1208	C1orf170	-1	910579	917497
ENSG00000187642	ENST00000433179	910579	917497	1	67.73	917497	3064	C1orf170	-1	910579	917497
ENSG00000188290	ENST00000428771	934342	935552	1	74.32	935552	1040	HES4	-1	934342	935552
ENSG00000188290	ENST00000304952	934344	935491	1	74.32	935491	899	HES4	-1	934342	935552
ENSG00000188290	ENST00000481869	934346	935476	1	74.32	935476	1038	HES4	-1	934342	935552
ENSG00000188290	ENST00000484667	934350	935361	1	74.32	935361	667	HES4	-1	934342	935552
ENSG00000187608	ENST00000379389	948803	949920	1	64.58	948803	711	ISG15	1	948803	949920
ENSG00000188157	ENST00000379370	955503	991496	1	65.71	955503	7323	AGRN	1	955503	991496
ENSG00000188157	ENST00000477585	969486	976105	1	65.71	969486	707	AGRN	1	955503	991496
ENSG00000188157	ENST00000469403	970247	976777	1	65.71	970247	899	AGRN	1	955503	991496
ENSG00000188157	ENST00000479707	980779	981729	1	65.71	980779	584	AGRN	1	955503	991496
ENSG00000188157	ENST00000466223	982581	983245	1	65.71	982581	459	AGRN	1	955503	991496
ENSG00000188157	ENST00000478677	982855	983218	1	65.71	982855	276	AGRN	1	955503	991496
ENSG00000188157	ENST00000492947	983909	984774	1	65.71	983909	690	AGRN	1	955503	991496
ENSG00000188157	ENST00000419249	985936	989330	1	65.71	985936	813	AGRN	1	955503	991496
ENSG00000188157	ENST00000461111	987366	991492	1	65.71	987366	3385	AGRN	1	955503	991496
ENSG00000237330	ENST00000453464	1006346	1009687	1	65.44	1009687	1902	RNF223	-1	1006346	1009687
ENSG00000131591	ENST00000379339	1017198	1051461	1	54.65	1051461	2429	C1orf159	-1	1017198	1051741
ENSG00000131591	ENST00000465822	1017203	1027457	1	54.65	1027457	1933	C1orf159	-1	1017198	1051741
ENSG00000131591	ENST00000379325	1017203	1051475	1	54.65	1051475	2010	C1orf159	-1	1017198	1051741
ENSG00000131591	ENST00000421241	1017203	1051478	1	54.65	1051478	1841	C1orf159	-1	1017198	1051741
ENSG00000131591	ENST00000487177	1017205	1023016	1	54.65	1023016	3315	C1orf159	-1	1017198	1051741
ENSG00000131591	ENST00000477196	1017205	1051469	1	54.65	1051469	3214	C1orf159	-1	1017198	1051741
